here i am uploading excel file

	
3964-QJWTRG-NPN	3964
0648-AIPJSP-UVM	648
5195-TLUDJE-HVO	5195
4459-VLPQUH-3OL	4459
8158-SMTQFB-CNO	8158
9662-FUSYIM-1IV	9662
7432-QKQFJJ-K72	7432
8959-RZWRHU-ST8	8959
9124-DZALHM-S6I	9124
3512-MUWBGY-52X	3512
5621-QSZPSF-NF2	5621
8241-PWPONH-62O	8241
8795-FYOXCT-P09	8795
1705-NMIQNO-IC4	1705
9205-PAZEXY-90Q	9205
4225-PZZDIY-IBH	4225
0758-EQEGIQ-3OF	758
0649-TBFJFL-QU4	649
2228-KOLOPU-FY3	2228
3853-NVDCOJ-TIN	3853
0765-UXAFYM-PDR	765
9937-SFPLRK-H9Y	9937
0712-WQXYVV-HUP	712
6441-FJUWZQ-7G8	6441
7634-AVNEXZ-7AG	7634
